Summary,Issue Type,Description,Priority,Labels,Epic Name,Story Points
"Save analysis report to database","Story","As a user, I want generated analysis reports to be saved so that my dashboard history is persistent.","High","database,analysis,persistence","Database and Persistence",5
"Display score cards on dashboard","Story","As a user, I want to see ATS, frontend, backend, and industry readiness scores as cards so that I can quickly understand my resume performance.","High","frontend,dashboard,scores","Analytics and History",3
"Render skill distribution chart","Story","As a user, I want to see skill distribution by category so that I understand my technical profile visually.","Medium","frontend,charts,recharts","Analytics and History",3
"Render score breakdown chart","Story","As a user, I want to compare all resume scores visually so that I can identify strong and weak areas.","Medium","frontend,charts,recharts","Analytics and History",3
"Display strengths, weaknesses, and recommendations","Story","As a user, I want structured feedback sections so that I can easily act on the resume analysis.","High","frontend,recommendations,dashboard","Analytics and History",3
"Display detected and missing skills as badges","Story","As a user, I want detected and missing skills shown as badges so that the result is easy to scan.","Medium","frontend,skills,badges","Analytics and History",2
"Display analysis history","Story","As a user, I want to view previous analysis reports so that I can compare or revisit older resume submissions.","Medium","frontend,history,dashboard","Analytics and History",5
"Build profile page UI","Story","As a user, I want a profile page showing my account details and uploaded resumes so that I can review my activity.","Medium","frontend,profile,history","Analytics and History",3
"Run production build verification","Task","Run the Next.js production build to verify the application compiles successfully.","High","testing,build,scm","Testing and Demo Readiness",2
"Test signup login logout flow","Task","Verify user signup, login, protected dashboard access, and logout behavior before demo.","High","testing,auth,demo","Testing and Demo Readiness",3
"Test resume text analysis flow","Task","Verify that pasted resume text generates scores, skills, recommendations, and saved history.","High","testing,resume,analysis","Testing and Demo Readiness",3
"Test PDF upload limitation handling","Task","Verify that text-based PDFs work and scanned PDFs show a helpful fallback message.","Medium","testing,pdf,error-handling","Testing and Demo Readiness",2
"Prepare viva/demo script","Task","Prepare a short explanation of project intro, problem statement, frontend build, and dashboard flow.","Medium","documentation,demo,viva","Testing and Demo Readiness",2
"Review UI responsiveness","Task","Check landing page, auth pages, dashboard, charts, and profile page on desktop and smaller screen sizes.","Medium","testing,responsive,frontend","Testing and Demo Readiness",2
